Time(ms),Input,PixelX,PixelY,Angle(deg)
20,▲,262,306,258
43,▲,262,306,258
62,▲,262,306,258
81,▲,262,306,258
96,▲,262,306,258
113,▲,262,306,258
134,▲,262,306,258
153,▲,262,306,258
175,▲,262,306,258
196,▲,262,306,259
211,▲,262,306,259
227,▲,261,306,258
251,▲,261,306,258
273,▲,261,305,258
295,▲,261,305,258
313,▲,260,305,258
341,▲,259,304,258
359,▲,259,304,258
378,▲,259,304,257
395,▲,259,304,257
412,▲,258,303,257
429,▲,258,303,256
448,▲,258,303,256
464,▲,257,302,256
480,▲,257,302,256
497,▲,257,302,255
512,▲,257,302,255
528,▲,257,301,256
552,▲,257,301,256
568,▲,256,301,255
587,▲,256,301,255
604,▲,256,300,254
621,▲,256,300,254
636,▲,256,300,254
652,▲,255,300,254
669,▲,255,300,254
685,▲,255,300,254
702,▲,255,299,254
719,▲,255,299,254
736,▲,254,299,253
752,▲,254,299,253
769,▲,254,298,253
791,▲,254,298,253
819,▲,253,298,253
841,▲,253,298,252
861,▲,253,297,252
876,▲,253,297,252
891,▲,253,297,252
910,▲,252,297,252
926,▲,251,296,251
943,▲,251,296,251
959,▲,251,296,251
977,▲,251,296,251
997,▲,250,296,251
1013,▲,250,296,251
1031,▲,250,295,250
1051,▲,250,295,250
1066,▲,249,295,250
1086,▲,249,295,250
1104,▲,249,295,251
1128,▲,249,295,251
1145,▲,249,294,250
1161,▲,249,294,250
1177,▲,248,294,249
1193,▲,248,294,249
1209,▲,248,294,249
1226,▲,248,294,249
1244,▲,247,293,249
1261,▲,247,293,249
1283,▲,247,293,249
1299,▲,247,292,248
1314,▲,247,292,248
1330,▲,246,292,248
1346,▲,246,292,248
1363,▲,245,291,248
1379,▲,245,291,248
1396,▲,245,291,247
1417,▲,245,291,247
1435,▲,244,291,247
1451,▲,244,291,247
1470,▲,244,290,247
1488,▲,244,290,247
1504,▲,243,290,246
1520,▲,243,290,246
1537,▲,243,289,247
1553,▲,243,289,247
1569,▲,243,289,247
1587,▲,243,289,247
1607,▲,242,288,246
1628,▲,242,288,246
1648,▲,241,288,246
1668,▲,241,288,245
1692,▲,241,288,245
1714,▲,241,287,246
1734,▲,240,287,246
1754,▲,240,287,246
1777,▲,240,286,246
1795,▲,239,286,245
1812,▲,239,286,245
1833,▲,239,285,245
1849,▲,239,285,245
1866,▲,238,285,245
1885,▲,238,285,245
1904,▲,237,285,245
1924,▲,237,285,245
1941,▲,237,284,245
1957,▲,237,284,245
1974,▲,236,284,244
1992,▲,236,284,244
2008,▲,236,284,244
2025,▲,236,284,244
2046,▲,235,283,244
2066,▲,235,283,243
2083,▲,235,283,243
2100,▲,234,282,244
2118,▲,234,282,244
2140,▲,234,282,243
2170,▲,233,282,244
2191,▲,233,282,244
2212,▲,233,281,244
2229,▲,233,281,244
2245,▲,233,281,244
2275,▲,233,281,244
2304,▲,232,280,243
2323,▲,232,280,244
2344,▲,232,280,243
2362,▲,232,280,243
2378,▲,231,279,243
2394,▲,231,279,243
2411,▲,231,279,243
2428,▲,230,278,243
2446,▲,230,278,243
2463,▲,230,278,243
2480,▲,230,278,243
2497,▲,229,278,242
2513,▲,229,278,242
2530,▲,229,277,242
2548,▲,229,277,242
2566,▲,229,277,242
2583,▲,229,277,242
2599,▲,228,276,242
2616,▲,228,276,242
2634,▲,228,276,242
2653,▲,228,276,242
2672,▲,227,276,242
2691,▲,227,276,242
2710,▲,227,275,241
2727,▲,227,275,241
2747,▲,226,275,242
2764,▲,226,275,242
2780,▲,226,274,241
2796,▲,225,274,241
2816,▲,225,274,241
2833,▲,225,274,241
2859,▲,225,274,241
2883,▲,224,274,241
2903,▲,224,273,241
2922,▲,224,273,241
2939,▲,223,273,241
2956,▲,223,273,241
2972,▲,222,273,241
2987,▲,222,273,241
3003,▲,222,272,242
