Time(ms),Input,PixelX,PixelY,Angle(deg)
15,▲,366,329,266
34,▲,366,329,266
51,▲,366,329,266
68,▲,366,329,266
86,▲,366,329,266
109,▲,366,329,266
125,▲,366,329,267
140,▲,366,329,267
158,▲,366,329,266
174,▲,366,329,266
193,▲,366,329,266
210,▲,366,329,266
233,▲,366,328,267
250,▲,365,328,266
267,▲,365,328,266
284,▲,365,327,266
300,▲,365,327,266
319,▲,365,327,266
337,▲,365,327,266
353,▲,365,326,266
368,▲,365,326,266
385,▲,365,326,265
402,▲,365,326,265
420,▲,364,325,265
438,▲,364,325,265
456,▲,364,325,264
478,▲,364,325,264
495,▲,364,324,265
515,▲,364,324,265
531,▲,363,324,265
548,▲,363,324,265
564,▲,363,323,264
580,▲,363,323,264
601,▲,363,323,264
636,▲,363,322,263
661,▲,362,322,264
684,▲,362,322,264
699,▲,362,321,264
717,▲,362,321,263
733,▲,362,321,263
751,▲,361,320,263
771,▲,361,320,263
787,▲,361,320,263
805,▲,361,320,263
824,▲,361,319,263
854,▲,360,319,262
876,▲,360,319,262
896,▲,360,318,262
912,▲,360,318,262
930,▲,359,318,262
946,▲,359,318,262
962,▲,359,317,262
981,▲,359,317,262
1003,▲,359,317,261
1021,▲,358,316,262
1037,▲,358,316,262
1054,▲,358,316,261
1071,▲,358,316,261
1087,▲,358,315,260
1103,▲,358,315,260
1119,▲,358,315,261
1136,▲,358,315,261
1156,▲,357,314,260
1176,▲,357,314,259
1191,▲,357,314,259
1206,▲,357,313,259
1220,▲,357,313,259
1240,▲,357,313,259
1257,▲,357,313,259
1274,▲,357,313,259
1289,▲,356,312,259
1308,▲,356,312,259
1327,▲,356,312,258
1345,▲,356,312,258
1364,▲,356,312,258
1390,▲,356,312,258
1410,▲,355,311,257
1427,▲,355,310,257
1443,▲,355,310,257
1461,▲,355,310,257
1479,▲,355,310,257
1501,▲,355,310,256
1522,▲,354,309,257
1543,▲,354,309,257
1561,▲,354,309,256
1577,▲,354,308,255
1596,▲,354,308,255
1613,▲,353,308,255
1631,▲,353,308,255
1652,▲,353,307,255
1670,▲,353,307,255
1688,▲,353,307,253
1709,▲,353,307,253
1724,▲,352,306,254
1741,▲,352,306,254
1758,▲,352,306,253
1775,▲,352,306,253
1791,▲,352,306,254
1811,▲,352,306,254
1826,▲,352,305,253
1843,▲,352,305,253
1859,▲,351,305,253
1878,▲,351,305,253
1902,▲,351,304,253
1925,▲,350,304,253
1942,▲,350,304,253
1958,▲,350,304,253
1974,▲,350,303,252
1989,▲,350,303,252
2005,▲,350,303,252
2021,▲,349,303,252
2037,▲,349,303,252
2053,▲,349,303,252
2069,▲,349,303,251
2084,▲,349,303,251
2101,▲,348,302,252
2116,▲,348,302,252
2132,▲,348,302,252
2148,▲,348,302,252
2165,▲,347,302,251
2187,▲,347,302,251
2203,▲,347,302,251
2219,▲,347,301,252
2236,▲,347,301,252
2252,▲,346,301,251
2269,▲,346,301,251
2288,▲,346,300,251
2304,▲,346,300,251
2322,▲,345,300,251
2341,▲,345,300,251
2359,▲,345,300,251
2375,▲,344,299,250
2390,▲,344,299,250
2407,▲,344,299,250
2424,▲,344,299,250
2442,▲,344,299,250
2457,▲,343,299,250
2473,▲,343,299,250
2491,▲,343,298,249
2507,▲,343,298,249
2525,▲,342,298,249
2542,▲,342,298,249
2557,▲,342,297,249
2574,▲,342,297,249
2590,▲,341,297,249
2606,▲,341,297,249
2622,▲,341,297,249
2639,▲,341,297,249
2658,▲,340,296,249
2677,▲,340,296,249
2694,▲,340,296,248
2710,▲,339,296,248
2725,▲,339,296,248
2740,▲,339,296,248
2756,▲,339,295,248
2771,▲,339,295,248
2792,▲,338,295,248
2807,▲,338,295,246
2823,▲,338,295,246
2840,▲,338,295,246
2857,▲,337,294,247
2873,▲,337,294,247
2890,▲,336,294,247
2905,▲,336,294,247
2921,▲,336,294,247
2937,▲,336,294,247
2953,▲,335,293,247
2969,▲,335,293,247
2985,▲,335,293,247
3001,▲,335,293,247
