Time(ms),Input,PixelX,PixelY,Angle(deg)
16,▲,332,309,277
33,▲,332,309,277
50,▲,332,309,277
67,▲,332,309,277
85,▲,332,309,277
102,▲,332,309,277
125,▲,332,309,277
143,▲,332,309,277
165,▲,332,309,277
182,▲,332,309,277
200,▲,332,309,277
217,▲,332,309,277
234,▲,332,309,277
251,▲,332,309,277
267,▲,331,308,277
283,▲,331,308,277
299,▲,331,308,277
317,▲,331,308,277
333,▲,331,307,277
350,▲,331,307,277
366,▲,330,307,276
382,▲,330,307,276
397,▲,330,306,276
412,▲,330,306,276
429,▲,330,306,276
445,▲,329,306,276
461,▲,329,306,276
478,▲,329,305,275
497,▲,329,305,275
516,▲,328,305,276
531,▲,328,305,276
547,▲,328,304,275
562,▲,328,304,275
577,▲,327,304,275
593,▲,327,304,275
614,▲,327,304,275
629,▲,327,304,275
645,▲,326,303,275
663,▲,326,303,275
679,▲,326,303,274
695,▲,326,303,274
712,▲,326,302,274
729,▲,326,302,274
747,▲,325,301,274
764,▲,325,301,273
780,▲,325,301,273
797,▲,324,301,273
812,▲,324,301,273
829,▲,324,301,273
845,▲,323,300,273
862,▲,323,300,273
878,▲,323,300,273
894,▲,323,300,273
910,▲,322,299,272
925,▲,322,299,272
941,▲,322,299,273
957,▲,322,299,273
978,▲,321,298,273
994,▲,321,298,273
1011,▲,321,298,273
1026,▲,321,298,273
1042,▲,320,297,272
1057,▲,320,297,272
1099,▲,320,297,272
1126,▲,319,296,272
1144,▲,319,296,271
1161,▲,319,296,271
1177,▲,319,295,271
1193,▲,319,295,271
1210,▲,318,295,272
1226,▲,318,295,272
1243,▲,318,295,272
1261,▲,318,294,271
1278,▲,317,294,272
1295,▲,317,294,272
1314,▲,317,293,271
1332,▲,317,293,271
1349,▲,316,293,271
1366,▲,316,293,271
1382,▲,316,293,271
1402,▲,316,293,271
1421,▲,316,292,271
1439,▲,315,292,270
1456,▲,315,292,270
1473,▲,315,291,270
1493,▲,315,291,270
1519,▲,315,291,270
1540,▲,314,290,270
1556,▲,314,290,270
1585,▲,314,290,269
1606,▲,313,289,270
1622,▲,313,289,270
1641,▲,313,289,270
1657,▲,313,289,270
1673,▲,313,289,270
1699,▲,313,289,269
1725,▲,312,288,270
1744,▲,312,288,270
1760,▲,312,288,270
1779,▲,312,287,269
1798,▲,312,287,269
1825,▲,311,287,269
1842,▲,311,286,268
1887,▲,311,286,268
1918,▲,311,285,268
1954,▲,311,285,269
1978,▲,310,284,268
2019,▲,310,284,268
2052,▲,310,284,268
2083,▲,310,283,268
2119,▲,309,282,268
2145,▲,309,282,268
2167,▲,309,282,268
2206,▲,309,281,268
2227,▲,308,281,268
2271,▲,308,280,267
2307,▲,308,280,267
2341,▲,308,280,267
2388,▲,307,279,267
2436,▲,307,278,267
2484,▲,307,278,267
2532,▲,306,277,267
2580,▲,306,276,267
2607,▲,306,276,267
2639,▲,305,275,267
2674,▲,305,275,266
2723,▲,304,274,266
2777,▲,304,274,266
2802,▲,304,273,266
2823,▲,304,273,266
2843,▲,304,273,266
2861,▲,303,272,266
2882,▲,303,272,265
2900,▲,303,272,265
2918,▲,303,271,266
2935,▲,303,271,266
2959,▲,302,271,266
2976,▲,302,270,266
2995,▲,302,270,266
3010,▲,302,270,265
3026,▲,302,270,265
