Time(ms),Input,PixelX,PixelY,Angle(deg)
16,▲,298,259,261
32,▲,298,259,261
54,▲,298,259,261
75,▲,298,259,261
96,▲,298,259,261
119,▲,298,259,261
137,▲,298,259,261
154,▲,298,259,261
170,▲,298,259,261
185,▲,298,259,261
205,▲,298,259,261
229,▲,298,258,261
258,▲,298,258,261
277,▲,297,258,261
294,▲,297,257,260
316,▲,297,257,260
337,▲,297,257,260
356,▲,296,256,260
375,▲,296,256,260
394,▲,296,256,260
414,▲,296,256,260
436,▲,296,255,260
453,▲,296,255,260
471,▲,296,255,260
487,▲,295,254,259
505,▲,295,254,259
523,▲,295,254,259
539,▲,295,253,259
556,▲,295,253,259
572,▲,295,253,259
588,▲,295,253,259
607,▲,295,253,259
627,▲,295,252,258
652,▲,295,252,257
676,▲,295,252,257
693,▲,294,251,257
710,▲,294,251,257
726,▲,294,251,257
741,▲,294,251,257
756,▲,294,250,257
773,▲,294,250,257
792,▲,294,250,257
809,▲,294,250,257
826,▲,293,249,256
841,▲,293,249,256
859,▲,293,249,256
874,▲,293,248,255
890,▲,293,248,255
907,▲,292,248,256
923,▲,292,248,256
938,▲,292,248,255
956,▲,292,248,255
972,▲,292,248,255
989,▲,292,247,255
1006,▲,292,247,255
1022,▲,291,247,254
1039,▲,291,247,254
1055,▲,291,246,254
1073,▲,291,246,254
1089,▲,290,246,254
1106,▲,290,246,254
1125,▲,290,245,254
1147,▲,290,245,254
1165,▲,290,245,253
1183,▲,289,245,253
1200,▲,289,245,253
1218,▲,289,244,252
1239,▲,289,244,252
1256,▲,289,243,251
1272,▲,289,243,251
1289,▲,288,243,252
1306,▲,288,243,252
1331,▲,288,242,251
1348,▲,288,242,251
1365,▲,288,242,251
1382,▲,288,242,251
1398,▲,287,242,250
1414,▲,287,242,250
1430,▲,287,241,250
1446,▲,287,241,250
1463,▲,287,241,249
1479,▲,287,241,249
1497,▲,286,240,249
1514,▲,286,240,249
1530,▲,286,240,249
1547,▲,286,240,249
1562,▲,286,240,249
1578,▲,285,239,249
1594,▲,285,239,249
1611,▲,285,239,248
1631,▲,285,239,248
1647,▲,285,238,248
1665,▲,285,238,248
1682,▲,285,238,247
1703,▲,285,238,247
1723,▲,284,238,248
1744,▲,284,237,247
1759,▲,284,237,247
1775,▲,284,237,247
1792,▲,284,237,247
1814,▲,284,237,247
1837,▲,284,236,246
1855,▲,283,236,245
1874,▲,283,236,245
1890,▲,283,235,245
1905,▲,283,235,245
1923,▲,283,235,245
1938,▲,283,235,245
1955,▲,282,234,244
1973,▲,282,234,244
1990,▲,282,234,244
2006,▲,282,234,244
2023,▲,282,233,244
2041,▲,282,233,244
2059,▲,281,233,243
2076,▲,281,233,243
2092,▲,281,233,243
2109,▲,281,232,242
2131,▲,281,232,242
2147,▲,280,232,242
2167,▲,280,232,242
2182,▲,280,232,242
2198,▲,280,232,242
2216,▲,280,232,242
2234,▲,280,231,241
2250,▲,279,231,241
2264,▲,279,231,241
2281,▲,279,231,241
2297,▲,279,230,241
2313,▲,278,230,240
2329,▲,278,230,240
2344,▲,278,230,240
2360,▲,278,230,241
2374,▲,278,230,241
2390,▲,278,229,239
2405,▲,278,229,239
2428,▲,277,229,239
2447,▲,277,229,239
2470,▲,277,229,239
2492,▲,276,229,238
2512,▲,276,228,238
2534,▲,276,228,238
2552,▲,276,228,238
2571,▲,275,228,238
2590,▲,275,228,237
2611,▲,275,228,237
2632,▲,274,227,237
2656,▲,274,227,237
2679,▲,274,227,237
2704,▲,273,227,236
2723,▲,273,226,237
2746,▲,273,226,237
2773,▲,272,226,237
2794,▲,272,226,235
2822,▲,272,226,235
2845,▲,271,226,236
2862,▲,270,225,235
2880,▲,270,225,235
2896,▲,270,225,235
2912,▲,269,225,235
2929,▲,269,225,235
2945,▲,269,225,235
2961,▲,269,225,235
2976,▲,269,225,235
2992,▲,268,224,234
3007,▲,268,224,234
3023,▲,268,224,234
